"Sr. No.","Page","College Code","College Name","Course Code","Course Name","Status","Level","Stage","Caste/Category","Cut‑off Rank","Cut‑off Percentile"
"1","1","1002","Government College of Engineering, Amravati","100219110","Civil Engineering","Government Autonomous","State Level","I","GOPENS","33717","88.60373"
"2","1","1002","Government College of Engineering, Amravati","100219110","Civil Engineering","Government Autonomous","State Level","I","GSCS","61041","78.56133"
"3","1","1002","Government College of Engineering, Amravati","100219110","Civil Engineering","Government Autonomous","State Level","I","GNT3S","67451","76.13585"
"4","1","1002","Government College of Engineering, Amravati","100219110","Civil Engineering","Government Autonomous","State Level","I","GSEBCS","83123","69.76044"
"5","1","1002","Government College of Engineering, Amravati","100219110","Civil Engineering","Government Autonomous","State Level","I","LSCS","50493","82.70868"
"6","1","1002","Government College of Engineering, Amravati","100219110","Civil Engineering","Government Autonomous","State Level","I","LVJS","52977","81.70983"
"7","1","1002","Government College of Engineering, Amravati","100219110","Civil Engineering","Government Autonomous","State Level","I","EWS","115797","53.74245"
"8","1","1002","Government College of Engineering, Amravati","100219110","Civil Engineering","Government Autonomous","State Level","I-NON PWD","PWDOPENS","33345","88.6997"
"9","1","1002","Government College of Engineering, Amravati","100219110","Civil Engineering","Government Autonomous","State Level","VII","ORPHAN","33876","88.55519"
"10","1","1002","Government College of Engineering, Amravati","100224210","Computer Science and Engineering","Government Autonomous","State Level","I","GSCS","11323","96.24374"
"11","1","1002","Government College of Engineering, Amravati","100224210","Computer Science and Engineering","Government Autonomous","State Level","I","GSEBCS","17059","94.33318"
"12","1","1002","Government College of Engineering, Amravati","100224210","Computer Science and Engineering","Government Autonomous","State Level","I","LOPENS","7985","97.34618"
"13","1","1002","Government College of Engineering, Amravati","100224210","Computer Science and Engineering","Government Autonomous","State Level","I","LSEBCS","21791","92.7108"
"14","1","1002","Government College of Engineering, Amravati","100224210","Computer Science and Engineering","Government Autonomous","State Level","I","TFWS","9964","96.72296"
"15","1","1002","Government College of Engineering, Amravati","100224210","Computer Science and Engineering","Government Autonomous","State Level","I","PWDROBC S","96341","63.26878"
"16","1","1002","Government College of Engineering, Amravati","100224210","Computer Science and Engineering","Government Autonomous","State Level","I","EWS","15308","94.8965"
"17","1","1002","Government College of Engineering, Amravati","100224610","Information Technology","Government Autonomous","State Level","I","GOBCS","8917","97.04979"
"18","1","1002","Government College of Engineering, Amravati","100224610","Information Technology","Government Autonomous","State Level","I","GSEBCS","24057","91.94929"
"19","1","1002","Government College of Engineering, Amravati","100224610","Information Technology","Government Autonomous","State Level","I","LOPENS","11969","96.03923"
"20","1","1002","Government College of Engineering, Amravati","100224610","Information Technology","Government Autonomous","State Level","I","LSEBCS","24708","91.78499"
"21","1","1002","Government College of Engineering, Amravati","100224610","Information Technology","Government Autonomous","State Level","I","TFWS","13259","95.63206"
"22","1","1002","Government College of Engineering, Amravati","100224610","Information Technology","Government Autonomous","State Level","I","EWS","19241","93.6359"
"23","1","1002","Government College of Engineering, Amravati","100224610","Information Technology","Government Autonomous","State Level","VII","ORPHAN","11764","96.13531"
"24","1","1002","Government College of Engineering, Amravati","100229310","Electrical Engineering","Government Autonomous","State Level","I","GOPENS","24135","91.93931"
"25","1","1002","Government College of Engineering, Amravati","100229310","Electrical Engineering","Government Autonomous","State Level","I","GNT2S","50339","82.70868"
"26","1","1002","Government College of Engineering, Amravati","100229310","Electrical Engineering","Government Autonomous","State Level","I","LNT1S","44865","84.57312"
"27","1","1002","Government College of Engineering, Amravati","100229310","Electrical Engineering","Government Autonomous","State Level","I","TFWS","12755","95.79788"
"28","1","1002","Government College of Engineering, Amravati","100229310","Electrical Engineering","Government Autonomous","State Level","I","EWS","75966","72.77509"
"29","2","1002","Government College of Engineering, Amravati","100237210","Electronics and Telecommunication Engg","Government Autonomous","State Level","I","GOPENS","18608","93.84926"
"30","2","1002","Government College of Engineering, Amravati","100237210","Electronics and Telecommunication Engg","Government Autonomous","State Level","I","GSTS","47245","83.74406"
"31","2","1002","Government College of Engineering, Amravati","100237210","Electronics and Telecommunication Engg","Government Autonomous","State Level","I","GOBCS","19635","93.45576"
"32","2","1002","Government College of Engineering, Amravati","100237210","Electronics and Telecommunication Engg","Government Autonomous","State Level","I","GSEBCS","30760","89.59179"
"33","2","1002","Government College of Engineering, Amravati","100237210","Electronics and Telecommunication Engg","Government Autonomous","State Level","I","LOPENS","14790","95.05472"
"34","2","1002","Government College of Engineering, Amravati","100237210","Electronics and Telecommunication Engg","Government Autonomous","State Level","I","LVJS","66354","76.54046"
"35","2","1002","Government College of Engineering, Amravati","100237210","Electronics and Telecommunication Engg","Government Autonomous","State Level","I","LSEBCS","44066","84.84823"
"36","2","1002","Government College of Engineering, Amravati","100237210","Electronics and Telecommunication Engg","Government Autonomous","State Level","I","TFWS","21632","92.77044"
"37","2","1002","Government College of Engineering, Amravati","100237210","Electronics and Telecommunication Engg","Government Autonomous","State Level","I","EWS","28139","90.5124"
"38","2","1002","Government College of Engineering, Amravati","100246610","Instrumentation Engineering","Government Autonomous","State Level","I","GOPENS","34174","88.50135"
"39","2","1002","Government College of Engineering, Amravati","100246610","Instrumentation Engineering","Government Autonomous","State Level","I","LOBCS","32099","89.19456"
"40","2","1002","Government College of Engineering, Amravati","100261210","Mechanical Engineering","Government Autonomous","State Level","I","GOPENS","31514","89.32234"
"41","2","1002","Government College of Engineering, Amravati","100261210","Mechanical Engineering","Government Autonomous","State Level","I","GSCS","62783","77.84452"
"42","2","1002","Government College of Engineering, Amravati","100261210","Mechanical Engineering","Government Autonomous","State Level","I","GVJS","67622","76.12688"
"43","2","1002","Government College of Engineering, Amravati","100261210","Mechanical Engineering","Government Autonomous","State Level","I","LOPENS","38944","86.7802"
"44","2","1002","Government College of Engineering, Amravati","100261210","Mechanical Engineering","Government Autonomous","State Level","I","LSCS","64534","77.20746"
"45","2","1002","Government College of Engineering, Amravati","100261210","Mechanical Engineering","Government Autonomous","State Level","I","LOBCS","48807","83.14695"
"46","2","1002","Government College of Engineering, Amravati","100261210","Mechanical Engineering","Government Autonomous","State Level","I","TFWS","52116","81.93418"
"47","2","1002","Government College of Engineering, Amravati","100261210","Mechanical Engineering","Government Autonomous","State Level","I","EWS","101168","60.62374"
"48","2","1002","Government College of Engineering, Amravati","100261210","Mechanical Engineering","Government Autonomous","State Level","II","LSTS","139021","38.86599"
"49","3","1005","Sant Gadge Baba Amravati University,Amravati","100550310","Food Technology","University Department","Home University Seats Allotted to Home University Candidates","I","GOPENH","58918","80.95128"
"50","3","1005","Sant Gadge Baba Amravati University,Amravati","100550310","Food Technology","University Department","Home University Seats Allotted to Home University Candidates","I","GSCH","101902","63.26878"
"51","3","1005","Sant Gadge Baba Amravati University,Amravati","100550310","Food Technology","University Department","Home University Seats Allotted to Home University Candidates","I","GOBCH","78502","73.62627"
"52","3","1005","Sant Gadge Baba Amravati University,Amravati","100550310","Food Technology","University Department","Home University Seats Allotted to Home University Candidates","I","LOBCH","60193","80.527"
"53","3","1005","Sant Gadge Baba Amravati University,Amravati","100550310","Food Technology","University Department","Home University Seats Allotted to Home University Candidates","I-NON PWD","PWDOPENH","68640","77.56705"
"54","3","1005","Sant Gadge Baba Amravati University,Amravati","100550310","Food Technology","University Department","Home University Seats Allotted to Home University Candidates","VII","LSEBCH","87385","70.19912"
"55","3","1005","Sant Gadge Baba Amravati University,Amravati","100550310","Food Technology","University Department","Home University Seats Allotted to Other Than Home University Candidates","I","GSTH","87376","70.20918"
"56","3","1005","Sant Gadge Baba Amravati University,Amravati","100550310","Food Technology","University Department","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","GSCO","38214","87.98727"
"57","3","1005","Sant Gadge Baba Amravati University,Amravati","100550310","Food Technology","University Department","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","LOPENO","19750","93.88204"
"58","3","1005","Sant Gadge Baba Amravati University,Amravati","100550310","Food Technology","University Department","Home University Seats Allotted to Home University Candidates","I","GVJO","153310","32.09794"
"59","3","1005","Sant Gadge Baba Amravati University,Amravati","100550310","Food Technology","University Department","State Level","I","EWS","115223","57.19599"
"60","3","1005","Sant Gadge Baba Amravati University,Amravati","100550310","Food Technology","University Department","State Level","I-NON DEFENCE","DEFOPENS","20748","93.58063"
"61","4","1005","Sant Gadge Baba Amravati University,Amravati","100551710","Oil and Paints Technology","University Department","Home University Seats Allotted to Home University Candidates","I","GOPENH","108245","57.25376"
"62","4","1005","Sant Gadge Baba Amravati University,Amravati","100551710","Oil and Paints Technology","University Department","Home University Seats Allotted to Home University Candidates","I","GOBCH","149613","30.95419"
"63","4","1005","Sant Gadge Baba Amravati University,Amravati","100551710","Oil and Paints Technology","University Department","Home University Seats Allotted to Home University Candidates","I","LOPENH","132176","43.52989"
"64","4","1005","Sant Gadge Baba Amravati University,Amravati","100551710","Oil and Paints Technology","University Department","Home University Seats Allotted to Home University Candidates","I","LSCH","132982","42.87733"
"65","4","1005","Sant Gadge Baba Amravati University,Amravati","100552410","Paper and Pulp Technology","University Department","Home University Seats Allotted to Home University Candidates","I","GOPENH","159191","22.50202"
"66","4","1005","Sant Gadge Baba Amravati University,Amravati","100552410","Paper and Pulp Technology","University Department","Home University Seats Allotted to Other Than Home University Candidates","I","GOBCH","115971","53.74245"
